dataset,approach,index_type,mAP,Precision@10,MRR,avg_latency_ms
Amazon,with_sentiment,flatl2,0.3776350500114826,0.875,0.875,25.86451292037964
IMDB,with_sentiment,flatl2,0.3497658709985945,0.8305163372327551,0.8305768455022187,28.104892994617927
Amazon,with_sentiment,hnsw,0.3380664108393411,0.86,0.875,17.34143853187561
IMDB,with_sentiment,hnsw,0.33932175552457877,0.827874142799516,0.8305768455022187,18.63345286210442
Amazon,with_sentiment,ivf,0.348602051679738,0.8594999999999999,0.875,17.71585524082184
IMDB,with_sentiment,ivf,0.3453127281576044,0.8299717628075837,0.8305768455022187,19.261779540870975
Amazon,with_sentiment,ivfpq,0.08376567414046057,0.37150000000000005,0.6557278368561263,17.243953347206116
IMDB,with_sentiment,ivfpq,0.11485311672943133,0.4544977813634529,0.7011709366088785,18.693261398524704
Amazon,without_sentiment,flatl2,0.1900143492905876,0.6315,0.7808769841269841,16.949110627174377
IMDB,without_sentiment,flatl2,0.2312501110130096,0.7179104477611941,0.8641944284569971,18.01619139252386
Amazon,without_sentiment,hnsw,0.1937594380255238,0.6375,0.778109360410831,8.867979049682617
IMDB,without_sentiment,hnsw,0.2310211385469209,0.7146833400564744,0.8564018422732784,10.441460018919667
Amazon,without_sentiment,ivf,0.1824489788609952,0.61525,0.7539325396825396,9.354711174964905
IMDB,without_sentiment,ivf,0.22820271717587978,0.7116175877369907,0.8608375912370644,10.941792371148974
Amazon,without_sentiment,ivfpq,0.05421030123544102,0.28775,0.5719504198287093,8.870730996131897
IMDB,without_sentiment,ivfpq,0.09126669279440314,0.4156918112141993,0.7143619417405287,10.399856890531835
